Var1_ 1,Var1_ 2,Var1_ 3,Var1_ 4,Var1_ 5,Var1_ 6,Var1_ 7,Var1_ 8,Var1_ 9,Var1_10,Var1_11,Var1_12
1091,337,-143,-755,457,94,-1067,-1081,-1139,-1311,465,1938
1105,350,-144,-769,465,100,-1071,-1086,-1153,-1321,448,1923
1113,384,-118,-790,456,130,-1070,-1083,-1156,-1324,450,1926
1123,411,-101,-808,452,152,-1072,-1081,-1155,-1325,462,1938
1137,420,-106,-820,462,154,-1085,-1092,-1168,-1340,453,1930
1133,423,-99,-819,456,159,-1093,-1101,-1182,-1351,439,1915
1125,421,-93,-814,449,161,-1092,-1107,-1195,-1364,426,1902
1132,457,-64,-836,438,194,-1095,-1111,-1201,-1369,427,1907
1110,477,-22,-835,406,225,-1095,-1113,-1201,-1372,427,1910
1116,503,-2,-851,399,248,-1100,-1118,-1199,-1380,418,1904
1123,521,9,-863,397,262,-1108,-1127,-1205,-1391,410,1898
1134,529,6,-873,404,265,-1117,-1134,-1220,-1400,404,1892
1151,544,4,-889,414,271,-1124,-1141,-1237,-1410,398,1890
1133,559,37,-887,388,295,-1126,-1145,-1246,-1418,396,1889
1117,581,75,-890,361,325,-1129,-1148,-1254,-1425,392,1884
1119,620,112,-911,344,363,-1139,-1155,-1264,-1433,384,1875
1136,664,139,-941,339,399,-1150,-1162,-1272,-1439,374,1867
1150,694,155,-963,338,422,-1169,-1181,-1297,-1455,359,1852
1144,700,167,-963,329,431,-1171,-1181,-1308,-1452,361,1853
1121,655,145,-929,328,397,-1151,-1160,-1295,-1427,376,1869
1132,605,84,-910,364,342,-1143,-1152,-1282,-1406,392,1888
1150,577,38,-905,396,305,-1138,-1142,-1250,-1388,408,1901
1129,555,37,-883,386,293,-1126,-1128,-1217,-1366,421,1912
1137,540,14,-880,402,274,-1126,-1119,-1197,-1349,430,1921
1187,541,-35,-905,451,250,-1137,-1114,-1182,-1340,433,1924
1201,528,-62,-906,472,230,-1145,-1112,-1175,-1335,435,1928
1184,516,-57,-891,461,227,-1145,-1112,-1173,-1335,437,1929
1165,506,-48,-877,447,226,-1135,-1110,-1172,-1338,431,1922
1161,484,-66,-864,454,206,-1133,-1116,-1177,-1348,412,1905
1175,474,-90,-866,473,189,-1129,-1116,-1178,-1351,415,1911
1181,468,-102,-866,482,180,-1130,-1121,-1181,-1354,427,1917
1155,461,-83,-849,459,186,-1118,-1113,-1173,-1346,437,1925
1149,469,-69,-850,449,197,-1102,-1100,-1161,-1334,448,1933
1146,476,-59,-852,443,206,-1092,-1097,-1159,-1333,448,1932
1134,475,-48,-846,431,211,-1086,-1098,-1165,-1337,445,1929
1140,468,-61,-845,441,201,-1087,-1105,-1175,-1347,442,1922
1133,449,-73,-832,443,185,-1086,-1110,-1185,-1357,433,1912
1114,437,-66,-817,430,183,-1077,-1105,-1186,-1359,425,1906
1113,432,-70,-814,432,178,-1074,-1104,-1189,-1361,412,1896
1121,432,-78,-818,440,174,-1072,-1103,-1190,-1362,407,1887
1123,428,-84,-817,444,169,-1071,-1107,-1192,-1366,401,1879
1135,427,-97,-822,456,162,-1070,-1107,-1189,-1366,400,1878
1138,432,-95,-826,457,166,-1064,-1103,-1185,-1362,405,1883
1125,437,-77,-822,441,177,-1065,-1102,-1183,-1358,416,1894
1126,433,-82,-821,444,173,-1069,-1108,-1188,-1361,415,1894
1102,417,-74,-801,428,169,-1066,-1109,-1189,-1361,413,1891
1096,412,-73,-795,425,167,-1060,-1102,-1184,-1357,411,1888
1107,411,-85,-800,436,160,-1054,-1095,-1177,-1357,403,1882
1118,404,-103,-802,451,148,-1045,-1088,-1172,-1362,387,1866
1099,399,-89,-790,434,152,-1026,-1072,-1158,-1354,391,1864
1087,402,-74,-786,421,161,-1012,-1063,-1151,-1349,391,1855
1074,402,-61,-779,408,168,-998,-1050,-1140,-1337,393,1851
1068,404,-53,-777,401,173,-986,-1024,-1114,-1309,399,1855
1111,436,-64,-815,428,183,-992,-998,-1071,-1257,430,1882
1156,478,-67,-858,452,203,-1007,-962,-1001,-1174,477,1920
1241,548,-82,-936,502,231,-1052,-922,-920,-1074,547,1987
1329,605,-113,-1008,561,244,-1111,-894,-852,-980,632,2078
1415,648,-156,-1072,626,244,-1170,-873,-801,-909,702,2158
1472,668,-193,-1111,673,235,-1208,-865,-777,-871,734,2210
1438,677,-150,-1098,634,261,-1223,-928,-831,-914,715,2215
1333,626,-96,-1021,555,263,-1210,-1024,-960,-1040,665,2182
1225,505,-109,-906,507,196,-1135,-1036,-1056,-1169,572,2096
1197,394,-192,-837,535,98,-1047,-982,-1085,-1257,457,1979
1194,363,-220,-820,547,69,-1018,-973,-1101,-1290,412,1927
1167,371,-185,-810,516,90,-1014,-1001,-1126,-1310,407,1915
1143,383,-149,-804,486,114,-1026,-1040,-1157,-1332,402,1908
1156,396,-149,-817,493,121,-1054,-1071,-1180,-1348,403,1909
1147,403,-133,-816,480,132,-1058,-1087,-1188,-1351,409,1909
1138,410,-117,-815,468,144,-1058,-1094,-1190,-1350,415,1909
1120,415,-94,-809,447,158,-1052,-1091,-1186,-1349,411,1904
1099,417,-71,-799,425,170,-1043,-1081,-1181,-1347,401,1894
1109,421,-77,-806,433,169,-1045,-1083,-1185,-1349,395,1892
1105,417,-77,-802,431,167,-1050,-1086,-1190,-1353,397,1893
1110,412,-87,-802,439,160,-1057,-1092,-1196,-1357,399,1894
1117,402,-104,-801,451,146,-1054,-1092,-1197,-1356,410,1900
1111,403,-97,-798,444,150,-1047,-1087,-1193,-1351,423,1909
1120,413,-96,-808,448,156,-1050,-1088,-1196,-1352,425,1912
1123,415,-97,-810,450,156,-1057,-1095,-1205,-1358,418,1904
1127,418,-98,-814,453,157,-1056,-1093,-1204,-1357,405,1894
1116,435,-70,-817,433,180,-1039,-1077,-1190,-1342,407,1900
1115,435,-69,-816,432,180,-1033,-1070,-1181,-1333,422,1912
1130,431,-88,-822,449,169,-1045,-1080,-1188,-1338,420,1908
1122,427,-84,-816,443,169,-1052,-1087,-1192,-1342,416,1905
1110,426,-73,-809,432,174,-1047,-1081,-1187,-1338,415,1906
1096,425,-60,-802,418,180,-1045,-1081,-1185,-1336,420,1912
1109,430,-68,-811,429,178,-1053,-1084,-1186,-1336,421,1914
1130,425,-94,-819,452,163,-1060,-1088,-1191,-1341,413,1906
1124,433,-80,-820,442,174,-1057,-1083,-1187,-1336,424,1914
1130,440,-79,-826,445,178,-1056,-1079,-1183,-1330,439,1922
1124,435,-78,-821,441,176,-1054,-1076,-1180,-1327,435,1916
1096,424,-61,-801,419,179,-1052,-1073,-1176,-1323,441,1922
1107,424,-72,-807,430,173,-1057,-1074,-1176,-1323,443,1923
1126,434,-81,-821,444,174,-1062,-1075,-1174,-1319,442,1921
1125,439,-75,-823,440,179,-1064,-1076,-1174,-1315,438,1919
1141,448,-82,-836,452,180,-1062,-1072,-1169,-1308,436,1922
1140,453,-76,-838,448,186,-1058,-1067,-1162,-1300,437,1925
1125,453,-61,-830,433,193,-1059,-1064,-1158,-1293,435,1926
1123,446,-66,-826,435,187,-1062,-1062,-1155,-1289,442,1926
1131,440,-80,-827,446,177,-1066,-1060,-1154,-1288,451,1928
1127,448,-68,-829,438,187,-1070,-1061,-1152,-1286,462,1936
1121,458,-52,-831,427,200,-1070,-1059,-1149,-1280,468,1942
1119,462,-46,-832,423,205,-1066,-1049,-1140,-1269,465,1941
1126,460,-55,-834,431,200,-1070,-1049,-1140,-1269,457,1936
1130,452,-67,-832,439,190,-1074,-1047,-1138,-1265,459,1938
1140,456,-73,-839,447,189,-1080,-1046,-1134,-1259,465,1939
1142,460,-71,-842,447,192,-1084,-1043,-1129,-1255,468,1939
1155,467,-77,-852,456,192,-1087,-1038,-1123,-1247,470,1941
1158,473,-74,-857,456,197,-1090,-1032,-1116,-1240,468,1940
1156,475,-70,-857,453,200,-1093,-1028,-1111,-1234,462,1937
1164,476,-77,-861,461,197,-1097,-1020,-1101,-1222,477,1948
1166,476,-79,-862,463,196,-1101,-1014,-1092,-1209,490,1954
1164,486,-67,-866,456,207,-1104,-1011,-1086,-1201,501,1964
1179,499,-69,-880,464,212,-1110,-1006,-1080,-1191,509,1971
1181,499,-71,-881,466,211,-1115,-1003,-1077,-1184,513,1975
1189,501,-77,-886,473,209,-1120,-1000,-1075,-1180,511,1972
1206,516,-79,-902,483,216,-1127,-998,-1073,-1176,513,1974
1215,523,-81,-910,488,218,-1132,-999,-1073,-1178,508,1965
1207,514,-82,-902,485,213,-1137,-1003,-1076,-1186,500,1958
1193,506,-76,-891,475,212,-1141,-1010,-1080,-1196,500,1956
1193,503,-79,-889,476,209,-1142,-1014,-1083,-1200,501,1959
1194,508,-75,-892,475,214,-1144,-1025,-1094,-1211,500,1961
1194,506,-77,-891,476,212,-1146,-1037,-1103,-1228,494,1956
1191,496,-84,-885,478,203,-1144,-1048,-1116,-1247,484,1949
1182,486,-85,-875,474,198,-1139,-1057,-1129,-1261,480,1947
1164,477,-76,-862,460,198,-1137,-1069,-1144,-1279,477,1947
1153,466,-76,-851,455,192,-1132,-1078,-1157,-1292,471,1943
1152,463,-78,-849,455,190,-1128,-1084,-1169,-1299,465,1939
1149,457,-81,-844,455,185,-1121,-1087,-1178,-1304,460,1937
1143,449,-83,-837,453,180,-1114,-1091,-1186,-1312,455,1935
1139,444,-84,-833,452,177,-1108,-1093,-1193,-1321,451,1933
1138,440,-87,-830,453,174,-1105,-1098,-1201,-1328,446,1930
1133,428,-94,-822,454,164,-1106,-1108,-1210,-1341,434,1920
1147,429,-107,-829,467,158,-1112,-1116,-1208,-1354,425,1911
1145,423,-111,-825,468,153,-1108,-1114,-1204,-1361,423,1910
1126,423,-92,-816,449,163,-1099,-1109,-1201,-1366,432,1921
1123,429,-83,-817,443,170,-1089,-1100,-1197,-1372,440,1926
1131,437,-83,-825,447,174,-1080,-1089,-1192,-1376,442,1930
1123,435,-77,-820,440,176,-1077,-1088,-1193,-1381,442,1934
1129,440,-78,-826,444,178,-1080,-1091,-1195,-1385,447,1938
1132,430,-91,-822,452,167,-1087,-1098,-1201,-1393,443,1930
1123,421,-91,-813,447,162,-1083,-1096,-1198,-1393,443,1928
1125,433,-81,-820,443,173,-1084,-1095,-1193,-1390,448,1933
1130,445,-74,-829,442,183,-1084,-1094,-1190,-1382,452,1939
1121,454,-56,-829,429,196,-1080,-1092,-1184,-1376,456,1943
1118,458,-49,-829,424,202,-1081,-1094,-1181,-1375,454,1943
1122,452,-59,-828,431,194,-1085,-1097,-1186,-1377,447,1937
1124,450,-63,-828,434,191,-1088,-1098,-1188,-1377,441,1933
1128,451,-66,-831,437,190,-1089,-1099,-1189,-1376,437,1933
1129,447,-71,-829,440,185,-1089,-1102,-1189,-1375,436,1934
1127,439,-77,-824,442,178,-1089,-1103,-1184,-1372,436,1936
1117,436,-70,-818,434,180,-1088,-1102,-1180,-1369,439,1940
1109,426,-72,-809,431,174,-1087,-1103,-1179,-1369,437,1942
1110,425,-74,-809,432,173,-1088,-1105,-1178,-1370,434,1944
1121,431,-79,-817,440,173,-1091,-1107,-1175,-1366,432,1945
1137,441,-85,-830,451,175,-1090,-1103,-1167,-1358,435,1948
1130,441,-78,-827,444,179,-1087,-1103,-1162,-1355,435,1953
1113,434,-68,-815,431,180,-1084,-1102,-1161,-1352,432,1954
1122,435,-76,-820,439,177,-1085,-1102,-1161,-1353,425,1947
1124,439,-74,-823,439,180,-1086,-1102,-1158,-1349,426,1948
1121,445,-65,-824,433,187,-1087,-1104,-1158,-1346,428,1953
1118,450,-57,-825,428,194,-1085,-1101,-1156,-1339,436,1966
1113,449,-53,-822,423,195,-1080,-1096,-1153,-1333,443,1974
1114,444,-59,-820,427,190,-1079,-1094,-1154,-1330,444,1977
1123,447,-65,-826,434,188,-1083,-1097,-1156,-1331,442,1975
1114,446,-57,-821,426,192,-1081,-1095,-1157,-1328,439,1972
1108,440,-57,-815,423,189,-1078,-1090,-1155,-1323,441,1976
1105,447,-47,-817,416,197,-1077,-1089,-1158,-1320,446,1982
1105,449,-45,-818,415,199,-1078,-1089,-1160,-1318,453,1989
1106,448,-47,-818,417,198,-1077,-1088,-1162,-1314,456,1992
1113,448,-54,-822,424,194,-1079,-1089,-1164,-1314,453,1990
1116,446,-59,-822,428,191,-1082,-1090,-1165,-1313,448,1985
1110,446,-53,-819,422,194,-1086,-1093,-1168,-1313,444,1982
1119,452,-56,-827,428,195,-1087,-1090,-1165,-1308,444,1985
1125,454,-60,-831,433,194,-1088,-1086,-1166,-1303,445,1986
1112,456,-45,-825,419,203,-1087,-1083,-1168,-1300,444,1982
1116,463,-42,-831,419,208,-1091,-1083,-1161,-1298,444,1980
1128,470,-47,-840,428,209,-1096,-1083,-1146,-1295,443,1980
1135,476,-48,-847,432,211,-1106,-1086,-1145,-1296,439,1976
1130,483,-36,-848,423,221,-1111,-1084,-1146,-1292,445,1982
1114,480,-23,-838,409,226,-1108,-1080,-1144,-1290,455,1994
1111,487,-13,-840,402,234,-1110,-1079,-1139,-1292,460,1997
1126,496,-19,-852,413,236,-1115,-1080,-1132,-1290,461,1998
1136,506,-19,-862,418,241,-1121,-1086,-1134,-1290,461,1995
1135,497,-27,-857,421,232,-1121,-1089,-1140,-1291,459,1993
1126,498,-17,-853,412,238,-1122,-1088,-1142,-1285,465,1998
1130,497,-22,-855,416,235,-1128,-1090,-1142,-1279,471,2005
1142,500,-31,-862,427,232,-1138,-1092,-1144,-1276,471,2007
1147,508,-28,-869,428,237,-1146,-1095,-1148,-1277,469,2006
1153,509,-33,-872,433,235,-1148,-1096,-1151,-1279,464,2002
1154,491,-52,-864,443,217,-1143,-1095,-1152,-1281,457,1994
1149,471,-67,-851,448,199,-1137,-1097,-1156,-1285,454,1991
1146,459,-76,-844,451,189,-1136,-1103,-1166,-1299,450,1985
1152,455,-86,-845,459,182,-1132,-1103,-1169,-1306,448,1983
1158,465,-82,-853,460,189,-1130,-1101,-1167,-1307,455,1992
1156,468,-77,-853,457,193,-1123,-1097,-1163,-1306,462,1999
1127,468,-48,-839,428,207,-1110,-1093,-1162,-1305,466,2002
1115,468,-36,-833,416,213,-1105,-1099,-1169,-1312,461,1996
1120,472,-37,-837,419,215,-1104,-1104,-1176,-1319,454,1988
1115,474,-30,-836,413,219,-1098,-1102,-1175,-1318,458,1992
1108,469,-28,-830,408,218,-1091,-1097,-1173,-1318,455,1986
1121,457,-53,-830,427,199,-1090,-1097,-1174,-1322,441,1971
1108,432,-65,-811,427,181,-1088,-1101,-1181,-1328,429,1955
1094,436,-47,-806,411,192,-1088,-1105,-1185,-1331,436,1961
1082,446,-25,-805,394,208,-1083,-1098,-1179,-1325,451,1973
1080,446,-23,-804,392,209,-1077,-1089,-1169,-1318,454,1977
1105,440,-54,-814,420,190,-1078,-1089,-1169,-1320,444,1971
1114,439,-64,-818,429,185,-1084,-1097,-1176,-1329,437,1963
1105,451,-43,-819,414,201,-1089,-1103,-1183,-1337,434,1954
1099,470,-18,-826,399,223,-1088,-1100,-1181,-1335,439,1958
1091,478,-2,-826,387,235,-1089,-1096,-1179,-1334,433,1953
1096,477,-8,-828,392,232,-1087,-1092,-1181,-1340,415,1932
1089,466,-12,-819,391,224,-1072,-1077,-1176,-1341,402,1916
1069,461,3,-806,373,229,-1053,-1062,-1167,-1337,402,1915
1054,454,11,-795,362,230,-1037,-1053,-1158,-1331,407,1913
1062,453,2,-799,370,225,-1028,-1034,-1140,-1314,413,1912
1080,462,-7,-812,384,225,-1024,-1006,-1105,-1275,437,1929
1123,512,0,-859,402,253,-1036,-976,-1050,-1207,485,1968
1184,564,-9,-915,437,275,-1066,-932,-969,-1114,542,2015
1252,627,-14,-981,473,304,-1112,-890,-883,-1010,621,2096
1333,677,-45,-1046,529,314,-1163,-854,-811,-923,688,2169
1419,681,-127,-1091,613,275,-1208,-815,-750,-858,724,2222
1415,673,-131,-1085,613,269,-1231,-845,-758,-860,725,2247
1364,680,-73,-1063,559,301,-1244,-957,-872,-963,696,2235
1284,628,-45,-997,505,289,-1207,-1032,-1007,-1111,635,2179
1206,480,-115,-884,501,180,-1109,-1005,-1080,-1241,513,2058
1182,399,-172,-832,517,111,-1047,-971,-1101,-1303,439,1979
1151,384,-156,-809,494,111,-1037,-992,-1122,-1325,431,1962
1131,410,-110,-812,461,147,-1046,-1027,-1145,-1341,433,1959
1133,447,-75,-831,444,183,-1069,-1057,-1169,-1360,431,1956
1147,450,-86,-840,457,179,-1084,-1081,-1185,-1372,417,1938
1126,429,-86,-819,446,169,-1083,-1091,-1186,-1370,416,1928
1095,437,-47,-807,411,192,-1070,-1079,-1169,-1352,432,1936
1077,452,-14,-806,386,216,-1060,-1070,-1158,-1341,436,1940
1085,447,-27,-807,396,207,-1065,-1076,-1163,-1345,437,1941
1071,438,-22,-796,387,205,-1063,-1076,-1162,-1343,443,1945
1089,457,-21,-814,395,215,-1058,-1068,-1156,-1336,446,1951
1114,484,-19,-840,407,230,-1057,-1066,-1152,-1334,445,1949
1112,466,-35,-830,414,213,-1058,-1067,-1154,-1334,447,1949
1096,458,-27,-818,402,213,-1057,-1069,-1156,-1336,447,1949
1098,473,-14,-827,396,227,-1062,-1071,-1158,-1337,443,1949
1094,461,-22,-819,398,217,-1061,-1070,-1157,-1335,446,1951
1097,464,-22,-822,400,218,-1066,-1073,-1159,-1335,448,1949
1104,465,-28,-826,406,216,-1070,-1074,-1160,-1335,448,1947
1109,459,-39,-825,414,207,-1075,-1080,-1166,-1339,435,1937
1106,463,-32,-826,409,213,-1073,-1078,-1166,-1336,433,1934
1103,459,-33,-822,408,210,-1072,-1075,-1162,-1330,444,1952
1098,447,-40,-814,409,201,-1072,-1074,-1160,-1326,455,1962
1083,443,-29,-804,396,204,-1073,-1075,-1160,-1324,466,1971
1094,466,-17,-821,396,222,-1075,-1076,-1161,-1321,472,1977
1105,476,-18,-832,402,226,-1075,-1076,-1159,-1315,469,1980
1101,469,-21,-826,401,221,-1075,-1078,-1158,-1313,454,1967
1106,467,-28,-828,407,217,-1076,-1079,-1155,-1308,448,1962
1114,465,-38,-831,416,211,-1079,-1082,-1152,-1302,450,1962
1111,465,-35,-829,413,212,-1082,-1089,-1152,-1299,451,1961
1114,468,-35,-832,415,214,-1083,-1091,-1149,-1292,452,1962
1111,469,-31,-831,411,216,-1082,-1091,-1143,-1283,454,1963
1110,463,-36,-828,413,211,-1083,-1091,-1137,-1276,450,1957
1126,472,-43,-840,425,212,-1086,-1095,-1134,-1271,440,1947
1140,461,-68,-842,444,194,-1091,-1096,-1132,-1268,433,1944
1122,435,-76,-820,439,177,-1085,-1091,-1122,-1264,436,1948
1101,432,-58,-808,420,184,-1075,-1078,-1106,-1255,454,1965
1113,438,-64,-817,429,184,-1074,-1072,-1097,-1249,472,1980
1121,437,-73,-820,437,179,-1071,-1064,-1088,-1245,482,1989
1116,415,-90,-807,443,160,-1064,-1049,-1074,-1234,497,2003
1119,367,-141,-784,470,110,-1056,-1034,-1059,-1222,508,2012
1117,303,-203,-751,500,47,-1042,-1016,-1040,-1204,523,2023
1139,247,-281,-734,550,-20,-1030,-996,-1015,-1181,545,2044
1153,231,-311,-733,572,-43,-1021,-982,-997,-1164,551,2046
1137,237,-289,-728,553,-29,-1018,-971,-984,-1150,555,2048
1138,253,-274,-737,546,-13,-1021,-966,-976,-1142,555,2047
1140,274,-255,-748,538,7,-1026,-962,-971,-1136,557,2046
1135,281,-243,-749,529,16,-1035,-962,-969,-1134,558,2042
1130,283,-236,-748,523,21,-1042,-960,-966,-1133,558,2041
1153,302,-240,-769,537,28,-1038,-947,-953,-1123,567,2047
1173,323,-239,-789,546,39,-1039,-938,-941,-1114,584,2059
1163,327,-225,-786,534,48,-1046,-937,-940,-1113,589,2060
1154,333,-210,-785,522,59,-1053,-940,-943,-1117,584,2053
1176,361,-204,-810,530,76,-1064,-946,-948,-1124,577,2045
1187,373,-203,-821,535,82,-1070,-951,-960,-1135,567,2035
1196,396,-189,-837,533,101,-1080,-959,-971,-1149,557,2028
1187,411,-165,-840,516,120,-1085,-965,-980,-1159,555,2030
1186,421,-154,-845,510,131,-1094,-979,-1002,-1178,544,2019
1188,441,-136,-856,502,150,-1101,-994,-1031,-1199,535,2009
1195,467,-117,-872,496,172,-1108,-1013,-1059,-1223,526,1999
1193,490,-92,-883,483,196,-1117,-1035,-1091,-1253,510,1986
1183,492,-80,-879,472,203,-1129,-1061,-1126,-1288,487,1969
1173,502,-60,-879,457,218,-1135,-1080,-1154,-1319,469,1955
1164,529,-24,-888,434,250,-1134,-1092,-1175,-1342,462,1951
1151,541,1,-887,415,268,-1132,-1105,-1192,-1366,449,1942
1141,546,16,-885,403,278,-1136,-1120,-1205,-1393,434,1933
1148,561,24,-896,402,290,-1141,-1132,-1213,-1413,423,1923
1153,568,26,-902,404,294,-1144,-1143,-1225,-1429,411,1913
1146,574,39,-901,394,304,-1142,-1146,-1236,-1442,405,1907
1128,557,40,-884,384,296,-1130,-1140,-1235,-1444,412,1915
1140,545,16,-884,402,278,-1128,-1141,-1239,-1450,414,1919
1144,542,9,-884,408,273,-1127,-1145,-1246,-1457,411,1918
1130,538,19,-875,396,276,-1126,-1147,-1254,-1463,407,1913
1123,549,37,-877,383,290,-1133,-1154,-1268,-1474,395,1899
1133,584,62,-900,376,320,-1143,-1162,-1285,-1479,389,1894
1132,612,91,-913,361,349,-1149,-1170,-1301,-1482,381,1887
1129,634,116,-923,347,372,-1155,-1176,-1308,-1483,370,1877
1140,638,109,-930,356,371,-1164,-1183,-1304,-1483,361,1866
1128,629,112,-920,348,368,-1150,-1167,-1276,-1464,367,1870
1115,613,109,-905,343,358,-1129,-1143,-1244,-1433,389,1892
1131,583,63,-898,374,320,-1125,-1136,-1228,-1419,391,1894
1139,550,22,-886,399,283,-1119,-1128,-1211,-1405,395,1897
1149,529,-9,-880,419,257,-1117,-1122,-1197,-1392,400,1900
1118,511,4,-856,397,255,-1106,-1113,-1180,-1377,404,1903
1120,499,-10,-851,405,242,-1107,-1112,-1171,-1372,398,1900
1119,484,-24,-843,412,227,-1105,-1110,-1162,-1366,406,1908
1116,473,-32,-836,414,218,-1101,-1109,-1156,-1361,414,1910
1122,470,-41,-837,422,212,-1099,-1108,-1151,-1358,421,1914
1131,472,-48,-843,430,209,-1100,-1111,-1151,-1359,422,1915
1139,466,-62,-844,441,199,-1100,-1112,-1151,-1359,425,1918
1140,462,-67,-842,444,195,-1092,-1103,-1140,-1352,435,1928
1131,461,-59,-837,435,198,-1090,-1100,-1135,-1351,431,1923
1145,463,-71,-845,448,193,-1098,-1109,-1146,-1359,417,1910
1140,455,-74,-839,447,188,-1099,-1111,-1154,-1362,418,1912
1130,464,-55,-838,433,202,-1094,-1106,-1157,-1358,429,1921
1132,468,-53,-841,433,205,-1093,-1106,-1165,-1358,431,1920
1128,462,-55,-836,432,201,-1094,-1109,-1179,-1363,431,1919
1123,459,-53,-832,428,200,-1094,-1110,-1191,-1365,436,1923
1125,473,-41,-840,423,213,-1083,-1100,-1194,-1356,448,1935
1126,477,-38,-843,422,217,-1077,-1096,-1200,-1354,451,1937
1132,474,-47,-844,430,211,-1083,-1103,-1213,-1362,435,1923
1142,459,-72,-842,447,191,-1090,-1110,-1224,-1369,419,1912
1134,463,-60,-840,437,199,-1089,-1109,-1221,-1366,423,1915
1124,453,-60,-830,432,194,-1087,-1108,-1215,-1362,420,1912
